{x=4,m=211,a=430,s=167}
{x=399,m=379,a=3098,s=1723}
{x=1235,m=3170,a=554,s=393}
{x=2272,m=16,a=772,s=977}
{x=150,m=3141,a=3700,s=3335}
{x=456,m=669,a=829,s=961}
{x=74,m=2087,a=292,s=1245}
{x=232,m=18,a=572,s=1622}
{x=153,m=2306,a=1841,s=712}
{x=935,m=43,a=822,s=128}
{x=959,m=40,a=414,s=312}
{x=788,m=1129,a=1275,s=1622}
{x=1264,m=1939,a=68,s=9}
{x=2201,m=1598,a=133,s=937}
{x=479,m=890,a=2502,s=667}
{x=318,m=893,a=405,s=17}
{x=1066,m=644,a=519,s=67}
{x=399,m=1118,a=1010,s=394}
{x=236,m=219,a=41,s=90}
{x=789,m=1619,a=202,s=1014}
